From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)
A0AAD4KQY3	A0AAD4KQY3	unreviewed	A0AAD4KQY3_9EURO	BZIP domain-containing protein	BGW36DRAFT_384390	Talaromyces proteolyticus	349			
A0A1Q5Q669	A0A1Q5Q669	unreviewed	A0A1Q5Q669_9EURO	Oxidoreductase	UA08_09416	Talaromyces atroroseus	314		oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
A0A1Q5Q631	A0A1Q5Q631	unreviewed	A0A1Q5Q631_9EURO	chitinase (EC 3.2.1.14)	UA08_09415	Talaromyces atroroseus	375	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	extracellular region [GO:0005576]; chitin binding [GO:0008061]; endochitinase activity [GO:0008843]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitin binding [GO:0008061]; endochitinase activity [GO:0008843]
A0A1Q5Q613	A0A1Q5Q613	unreviewed	A0A1Q5Q613_9EURO	Zn(2)-C6 fungal-type domain-containing protein	UA08_09414	Talaromyces atroroseus	351		DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]
A0A093UYK3	A0A093UYK3	unreviewed	A0A093UYK3_TALMA	DUF7702 domain-containing protein	GQ26_0400150	Talaromyces marneffei PM1	819		membrane [GO:0016020]	
B6QJB8	B6QJB8	unreviewed	B6QJB8_TALMQ	40S ribosomal protein S30	PMAA_090620	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	62	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
A0A1Q5Q657	A0A1Q5Q657	unreviewed	A0A1Q5Q657_9EURO	TauD/TfdA-like domain-containing protein	UA08_09408	Talaromyces atroroseus	389		cytoplasm [GO:0005737]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]	2-oxoglutarate-dependent dioxygenase activity [GO:0016706]
A0A1Q5Q6I9	A0A1Q5Q6I9	unreviewed	A0A1Q5Q6I9_9EURO	FAD dependent oxidoreductase domain-containing protein	UA08_09405	Talaromyces atroroseus	471		flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]	flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]
A0A1Q5Q8X9	A0A1Q5Q8X9	unreviewed	A0A1Q5Q8X9_9EURO	Carrier domain-containing protein	UA08_03944	Talaromyces atroroseus	4827	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	cytoplasm [GO:0005737]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
A0A6V8H836	A0A6V8H836	unreviewed	A0A6V8H836_TALPI	Major facilitator superfamily (MFS) profile domain-containing protein	TCE0_024f07348	Talaromyces pinophilus (Penicillium pinophilum)	508		membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A1Q5Q674	A0A1Q5Q674	unreviewed	A0A1Q5Q674_9EURO	Hypervirulence associated protein TUDOR domain-containing protein	UA08_09403	Talaromyces atroroseus	101			
A0A1Q5Q690	A0A1Q5Q690	unreviewed	A0A1Q5Q690_9EURO	GS catalytic domain-containing protein	UA08_09402	Talaromyces atroroseus	452		glutamine synthetase activity [GO:0004356]	glutamine synthetase activity [GO:0004356]
A0A1Q5Q679	A0A1Q5Q679	unreviewed	A0A1Q5Q679_9EURO	Uncharacterized protein	UA08_09401	Talaromyces atroroseus	364		membrane [GO:0016020]	
A0A1Q5Q676	A0A1Q5Q676	unreviewed	A0A1Q5Q676_9EURO	Extradiol ring-cleavage dioxygenase class III enzyme subunit B domain-containing protein	UA08_09400	Talaromyces atroroseus	295		ferrous iron binding [GO:0008198]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; zinc ion binding [GO:0008270]	ferrous iron binding [GO:0008198]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]; zinc ion binding [GO:0008270]
A0A1Q5Q6G7	A0A1Q5Q6G7	unreviewed	A0A1Q5Q6G7_9EURO	Uncharacterized protein	UA08_09398	Talaromyces atroroseus	294			
A0A7H8RFN1	A0A7H8RFN1	unreviewed	A0A7H8RFN1_TALRU	GTP-binding protein 8	TRUGW13939_10523	Talaromyces rugulosus (Penicillium rugulosum)	348		mitochondrion [GO:0005739]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]	GTP binding [GO:0005525]; metal ion binding [GO:0046872]
A0A225AJC7	A0A225AJC7	unreviewed	A0A225AJC7_9EURO	ELMO domain-containing protein	UA08_06271	Talaromyces atroroseus	734	actin filament organization [GO:0007015]; apoptotic process [GO:0006915]	plasma membrane [GO:0005886]; SH3 domain binding [GO:0017124]; actin filament organization [GO:0007015]; apoptotic process [GO:0006915]	SH3 domain binding [GO:0017124]
B8LWX3	B8LWX3	unreviewed	B8LWX3_TALSN	Rhodopsin domain-containing protein	TSTA_079610	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	360		membrane [GO:0016020]	
A0AAD4KZG5	A0AAD4KZG5	unreviewed	A0AAD4KZG5_9EURO	Conserved oligomeric Golgi complex subunit 4 (Component of oligomeric Golgi complex 4)	BGW36DRAFT_286688	Talaromyces proteolyticus	819	protein transport [GO:0015031]	Golgi membrane [GO:0000139]; protein transport [GO:0015031]	
A0AAD4PZV6	A0AAD4PZV6	unreviewed	A0AAD4PZV6_9EURO	Regulatory protein Ral2	BGW36DRAFT_291602	Talaromyces proteolyticus	879	cell redox homeostasis [GO:0045454]	cytosol [GO:0005829]; mitochondrion [GO:0005739]; cell redox homeostasis [GO:0045454]	
A0A7H8QN75	A0A7H8QN75	unreviewed	A0A7H8QN75_TALRU	PD-(D/E)XK endonuclease-like domain-containing protein	TRUGW13939_02081	Talaromyces rugulosus (Penicillium rugulosum)	366			
A0A0B8N372	A0A0B8N372	unreviewed	A0A0B8N372_TALPI	Major facilitator superfamily (MFS) profile domain-containing protein	TCE0_023r07110	Talaromyces pinophilus (Penicillium pinophilum)	576		plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A364KR72	A0A364KR72	unreviewed	A0A364KR72_TALAM	Uncharacterized protein	BHQ10_002023	Talaromyces amestolkiae	2483	fatty acid biosynthetic process [GO:0006633]; methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; methyltransferase activity [GO:0008168]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; methyltransferase activity [GO:0008168]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]
A0A225AW44	A0A225AW44	unreviewed	A0A225AW44_9EURO	FAD dependent oxidoreductase domain-containing protein	UA08_07123	Talaromyces atroroseus	446		cytoplasm [GO:0005737]	
A0A0U1LX21	A0A0U1LX21	unreviewed	A0A0U1LX21_TALIS	Nonribosomal peptide synthetase subunit	fenC PISL3812_04970	Talaromyces islandicus (Penicillium islandicum)	2048	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	cytoplasm [GO:0005737]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]
A0A225AJS8	A0A225AJS8	unreviewed	A0A225AJS8_9EURO	TRAF-type domain-containing protein	UA08_07186	Talaromyces atroroseus	345		cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	zinc ion binding [GO:0008270]
A0A225AD24	A0A225AD24	unreviewed	A0A225AD24_9EURO	Putative glutamine amidotransferase DUG3	UA08_08934	Talaromyces atroroseus	378	glutathione catabolic process [GO:0006751]	cytoplasm [GO:0005737]; glutathione hydrolase complex [GO:0061672]; glutathione hydrolase activity [GO:0036374]; transferase activity [GO:0016740]; glutathione catabolic process [GO:0006751]	glutathione hydrolase activity [GO:0036374]; transferase activity [GO:0016740]
B6Q9D5	B6Q9D5	unreviewed	B6Q9D5_TALMQ	Deoxyhypusine hydroxylase (DOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase)	LIA1 PMAA_071640	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	328		cytoplasm [GO:0005737]; nucleus [GO:0005634]; deoxyhypusine monooxygenase activity [GO:0019135]; metal ion binding [GO:0046872]	deoxyhypusine monooxygenase activity [GO:0019135]; metal ion binding [GO:0046872]
A0A225AAT3	A0A225AAT3	unreviewed	A0A225AAT3_9EURO	PIG-P domain-containing protein	UA08_08933	Talaromyces atroroseus	451		membrane [GO:0016020]	
A0A225A656	A0A225A656	unreviewed	A0A225A656_9EURO	Large ribosomal subunit protein uL15/eL18 domain-containing protein	UA08_08932	Talaromyces atroroseus	318	translation [GO:0006412]	mitochondrial large ribosomal subunit [GO:0005762]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
A0A225A5T1	A0A225A5T1	unreviewed	A0A225A5T1_9EURO	Protein kinase domain-containing protein	UA08_08931	Talaromyces atroroseus	746	intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization [GO:0000226]	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization [GO:0000226]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
A0A225A7L6	A0A225A7L6	unreviewed	A0A225A7L6_9EURO	SH3 domain-containing protein	UA08_08930	Talaromyces atroroseus	751	establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; protein localization [GO:0008104]	cell tip [GO:0051286]; microtubule cytoskeleton [GO:0015630]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; protein localization [GO:0008104]	
A0A225A7N3	A0A225A7N3	unreviewed	A0A225A7N3_9EURO	BZIP domain-containing protein	UA08_08928	Talaromyces atroroseus	600		DNA-binding transcription factor activity [GO:0003700]	DNA-binding transcription factor activity [GO:0003700]
A0A225A5U4	A0A225A5U4	unreviewed	A0A225A5U4_9EURO	Norsolorinic acid ketoreductase	UA08_08927	Talaromyces atroroseus	234		cytoplasm [GO:0005737]; oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]
A0A225AFU5	A0A225AFU5	unreviewed	A0A225AFU5_9EURO	chitinase (EC 3.2.1.14)	UA08_08926	Talaromyces atroroseus	454	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	extracellular region [GO:0005576]; chitin binding [GO:0008061]; chitinase activity [GO:0004568]; chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	chitin binding [GO:0008061]; chitinase activity [GO:0004568]
A0A225AJZ5	A0A225AJZ5	unreviewed	A0A225AJZ5_9EURO	Altered inheritance of mitochondria protein 6	UA08_08925	Talaromyces atroroseus	423	lipid metabolic process [GO:0006629]	membrane [GO:0016020]; phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629]	phosphoric diester hydrolase activity [GO:0008081]
A0A225ALN9	A0A225ALN9	unreviewed	A0A225ALN9_9EURO	Aminoglycoside phosphotransferase domain-containing protein	UA08_08924	Talaromyces atroroseus	471			
A0A225AQV8	A0A225AQV8	unreviewed	A0A225AQV8_9EURO	Uncharacterized protein	UA08_08923	Talaromyces atroroseus	431		mitochondrion [GO:0005739]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]
A0AAD4KIG2	A0AAD4KIG2	unreviewed	A0AAD4KIG2_9EURO	DUF7600 domain-containing protein	BGW36DRAFT_44910	Talaromyces proteolyticus	675			
B6QDL4	B6QDL4	unreviewed	B6QDL4_TALMQ	NACHT domain-containing protein	PMAA_078290	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	682	nucleoside metabolic process [GO:0009116]	catalytic activity [GO:0003824]; nucleoside metabolic process [GO:0009116]	catalytic activity [GO:0003824]
A0A225AAV2	A0A225AAV2	unreviewed	A0A225AAV2_9EURO	dynamin GTPase (EC 3.6.5.5)	UA08_08919	Talaromyces atroroseus	920	cristae formation [GO:0042407]; heme transport [GO:0015886]; membrane bending [GO:0097753]; membrane tubulation [GO:0097749]; mitochondrial genome maintenance [GO:0000002]; mitochondrial inner membrane fusion [GO:1990627]; mitochondrial outer membrane fusion [GO:1990626]; mitochondrion inheritance [GO:0000001]; receptor internalization [GO:0031623]	microtubule [GO:0005874]; mitochondrial crista [GO:0030061]; mitochondrial inner boundary membrane [GO:0097002]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; cardiolipin binding [GO:1901612]; GTP binding [GO:0005525]; GTPase-dependent fusogenic activity [GO:0140523]; membrane bending activity [GO:0180020]; microtubule binding [GO:0008017]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylserine binding [GO:0001786]; cristae formation [GO:0042407]; heme transport [GO:0015886]; membrane bending [GO:0097753]; membrane tubulation [GO:0097749]; mitochondrial genome maintenance [GO:0000002]; mitochondrial inner membrane fusion [GO:1990627]; mitochondrial outer membrane fusion [GO:1990626]; mitochondrion inheritance [GO:0000001]; receptor internalization [GO:0031623]	cardiolipin binding [GO:1901612]; GTP binding [GO:0005525]; GTPase-dependent fusogenic activity [GO:0140523]; membrane bending activity [GO:0180020]; microtubule binding [GO:0008017]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; phosphatidylserine binding [GO:0001786]
A0A0U1LRB1	A0A0U1LRB1	unreviewed	A0A0U1LRB1_TALIS	Vacuolar protein sorting-associated protein 41 homolog	PISL3812_02947	Talaromyces islandicus (Penicillium islandicum)	1294	cellular response to starvation [GO:0009267]; endosomal vesicle fusion [GO:0034058]; macroautophagy [GO:0016236]; protein targeting to vacuole [GO:0006623]	HOPS complex [GO:0030897]; late endosome [GO:0005770]; cellular response to starvation [GO:0009267]; endosomal vesicle fusion [GO:0034058]; macroautophagy [GO:0016236]; protein targeting to vacuole [GO:0006623]	
A0A225A6C7	A0A225A6C7	unreviewed	A0A225A6C7_9EURO	Mucin	UA08_08918	Talaromyces atroroseus	656		cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nucleus [GO:0005634]; cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
A0AAD4KR66	A0AAD4KR66	unreviewed	A0AAD4KR66_9EURO	Transcription factor domain-containing protein	BGW36DRAFT_376469	Talaromyces proteolyticus	450			
A0A225AG18	A0A225AG18	unreviewed	A0A225AG18_9EURO	Uncharacterized protein	UA08_08916	Talaromyces atroroseus	420			
B8LZY1	B8LZY1	unreviewed	B8LZY1_TALSN	Monocarboxylate permease, putative	TSTA_081460	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	1396		membrane [GO:0016020]	
A0A478EAF2	A0A478EAF2	unreviewed	A0A478EAF2_TALPI	Major facilitator superfamily (MFS) profile domain-containing protein	TCE0_044r16154	Talaromyces pinophilus (Penicillium pinophilum)	449		membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]
A0A7H8QM17	A0A7H8QM17	unreviewed	A0A7H8QM17_TALRU	Protein kinase domain-containing protein	TRUGW13939_02016	Talaromyces rugulosus (Penicillium rugulosum)	208		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
A0A093UTS6	A0A093UTS6	unreviewed	A0A093UTS6_TALMA	Putative metal ion transporter C27B12.12c	GQ26_0330420	Talaromyces marneffei PM1	1251	calcium ion import across plasma membrane [GO:0098703]	membrane [GO:0016020]; calcium channel activity [GO:0005262]; magnesium ion transmembrane transporter activity [GO:0015095]; calcium ion import across plasma membrane [GO:0098703]	calcium channel activity [GO:0005262]; magnesium ion transmembrane transporter activity [GO:0015095]
B8LZZ9	B8LZZ9	unreviewed	B8LZZ9_TALSN	Heterokaryon incompatibility domain-containing protein	TSTA_081640	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	339			
A0A225AZ09	A0A225AZ09	unreviewed	A0A225AZ09_9EURO	Rgp1-domain-containing protein	UA08_02964	Talaromyces atroroseus	812			
A0A1Q5Q7E0	A0A1Q5Q7E0	unreviewed	A0A1Q5Q7E0_9EURO	Uncharacterized protein	UA08_09042	Talaromyces atroroseus	107		membrane [GO:0016020]	
A0A1Q5Q7W1	A0A1Q5Q7W1	unreviewed	A0A1Q5Q7W1_9EURO	Major facilitator superfamily (MFS) profile domain-containing protein	UA08_09043	Talaromyces atroroseus	492		membrane [GO:0016020]; carbohydrate:proton symporter activity [GO:0005351]	carbohydrate:proton symporter activity [GO:0005351]
A0A1Q5Q7P2	A0A1Q5Q7P2	unreviewed	A0A1Q5Q7P2_9EURO	Epoxide hydrolase N-terminal domain-containing protein	UA08_09045	Talaromyces atroroseus	423	epoxide metabolic process [GO:0097176]	epoxide hydrolase activity [GO:0004301]; epoxide metabolic process [GO:0097176]	epoxide hydrolase activity [GO:0004301]
A0A6V8H4H9	A0A6V8H4H9	unreviewed	A0A6V8H4H9_TALPI	Dop1 homolog	TCE0_015f01437	Talaromyces pinophilus (Penicillium pinophilum)	1856	Golgi to endosome transport [GO:0006895]; protein transport [GO:0015031]	cytosol [GO:0005829]; endosome [GO:0005768]; Golgi membrane [GO:0000139]; trans-Golgi network [GO:0005802]; Golgi to endosome transport [GO:0006895]; protein transport [GO:0015031]	
A0A1Q5Q7E3	A0A1Q5Q7E3	unreviewed	A0A1Q5Q7E3_9EURO	Vacuolar fusion protein MON1	UA08_09047	Talaromyces atroroseus	615	autophagy [GO:0006914]; protein targeting to vacuole [GO:0006623]; vesicle-mediated transport [GO:0016192]	fungal-type vacuole membrane [GO:0000329]; Mon1-Ccz1 complex [GO:0035658]; multivesicular body membrane [GO:0032585]; autophagy [GO:0006914]; protein targeting to vacuole [GO:0006623]; vesicle-mediated transport [GO:0016192]	
A0A1Q5Q772	A0A1Q5Q772	unreviewed	A0A1Q5Q772_9EURO	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	UA08_09048	Talaromyces atroroseus	437	regulation of translational fidelity [GO:0006450]; telomere maintenance [GO:0000723]; tRNA threonylcarbamoyladenosine modification [GO:0002949]	mitochondrion [GO:0005739]; double-stranded RNA binding [GO:0003725]; L-threonylcarbamoyladenylate synthase [GO:0061710]; single-stranded telomeric DNA binding [GO:0043047]; tRNA binding [GO:0000049]; regulation of translational fidelity [GO:0006450]; telomere maintenance [GO:0000723]; tRNA threonylcarbamoyladenosine modification [GO:0002949]	double-stranded RNA binding [GO:0003725]; L-threonylcarbamoyladenylate synthase [GO:0061710]; single-stranded telomeric DNA binding [GO:0043047]; tRNA binding [GO:0000049]
B8MT50	B8MT50	unreviewed	B8MT50_TALSN	Quinone oxidoreductase, putative	TSTA_003150	Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	373		oxidoreductase activity, acting on NAD(P)H [GO:0016651]	oxidoreductase activity, acting on NAD(P)H [GO:0016651]
