Organism	Entry	Gene.Ontology..GO.	Protein.names	keyword
Talaromyces islandicus (Penicillium islandicum)	A0A0U1LRZ3	cellular bud tip [GO:0005934]; cytosolic ribosome [GO:0022626]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]; RSP5-BUL ubiquitin ligase complex [GO:1990306]; ubiquitin ligase complex [GO:0000151]; phosphatidylinositol binding [GO:0035091]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]; ubiquitin-ubiquitin ligase activity [GO:0034450]; cellular response to heat [GO:0034605]; cellular response to L-arginine [GO:1903577]; chromatin organization [GO:0006325]; free ubiquitin chain polymerization [GO:0010994]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; mitochondrion organization [GO:0007005]; nonfunctional rRNA decay [GO:0070651]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein K63-linked ubiquitination [GO:0070534]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of dolichol biosynthetic process [GO:0010794]; regulation of ergosterol biosynthetic process [GO:0032443]; regulation of mRNA export from nucleus [GO:0010793]; regulation of nitrogen utilization [GO:0006808]; regulation of phosphate metabolic process [GO:0019220]; regulation of protein localization [GO:0032880]; regulation of ribosomal large subunit export from nucleus [GO:2000203]; regulation of rRNA processing [GO:2000232]; regulation of tRNA export from nucleus [GO:2000238]; regulation of tRNA processing [GO:2000235]; regulation of ubiquinone biosynthetic process [GO:0010795]; ribophagy [GO:0034517]; ubiquitin-dependent endocytosis [GO:0070086]	HECT-type E3 ubiquitin transferase (EC 2.3.2.26) (HECT ubiquitin ligase A)	heat
Talaromyces pinophilus (Penicillium pinophilum)	A0A6V8HHH8	cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	Heat shock protein	heat
Talaromyces proteolyticus	A0AAD4L638	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	Heat shock 70 kDa protein	heat
Talaromyces rugulosus (Penicillium rugulosum)	A0A7H8QT01	cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; endocytosis [GO:0006897]; protein localization [GO:0008104]; retrograde transport, endosome to Golgi [GO:0042147]	HEAT repeat protein	heat
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8M8M7	cytosol [GO:0005829]; phagophore assembly site [GO:0000407]; trans-Golgi network [GO:0005802]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular response to heat [GO:0034605]; cellular response to nitrogen starvation [GO:0006995]; endocytosis [GO:0006897]; Golgi to plasma membrane protein transport [GO:0043001]; protein localization to Golgi apparatus [GO:0034067]; protein localization to phagophore assembly site [GO:0034497]; protein targeting to vacuole [GO:0006623]; protein-containing complex localization [GO:0031503]; response to endoplasmic reticulum stress [GO:0034976]	ADP-ribosylation factor, putative	heat
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8MNN4	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; cytosol [GO:0005829]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose-phosphatase activity [GO:0004805]; cellular response to heat [GO:0034605]; cellular response to nitrogen starvation [GO:0006995]; fungal-type cell wall organization [GO:0031505]; positive regulation of autophagy [GO:0010508]; trehalose biosynthetic process [GO:0005992]	Alpha,alpha-trehalose-phosphate synthase subunit Tps2, putative (EC 2.4.1.15)	heat
Talaromyces atroroseus	A0A225AJL5	cytosol [GO:0005829]; large ribosomal subunit [GO:0015934]; nucleolus [GO:0005730]; protein folding chaperone complex [GO:0101031]; small ribosomal subunit [GO:0015935]; Hsp70 protein binding [GO:0030544]; ribosome binding [GO:0043022]; transcription coactivator activity [GO:0003713]; 'de novo' cotranslational protein folding [GO:0051083]; intracellular signal transduction [GO:0035556]; regulation of translational fidelity [GO:0006450]; ribosomal subunit export from nucleus [GO:0000054]; rRNA processing [GO:0006364]; translational frameshifting [GO:0006452]	Zuotin	hsp70
Talaromyces atroroseus	A0A225AA09	cytosol [GO:0005829]; nucleus [GO:0005634]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; protein folding [GO:0006457]	Translocation protein sec72	hsp70
Talaromyces atroroseus	A0A225AN46	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; adenyl-nucleotide exchange factor activity [GO:0000774]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; regulation of translation [GO:0006417]	Hsp70 nucleotide exchange factor FES1 (Hsp70 nucleotide exchange factor fes1)	hsp70
Talaromyces atroroseus	A0A225AXK2	endoplasmic reticulum membrane [GO:0005789]; Hsp70 protein binding [GO:0030544]; cellular response to misfolded protein [GO:0071218]; chaperone cofactor-dependent protein refolding [GO:0051085]	J domain-containing protein	hsp70
Talaromyces atroroseus	A0A225AFP6	cytosol [GO:0005829]; nucleolar peripheral inclusion body [GO:0140602]; protein aggregate center [GO:0140453]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; cellular response to heat [GO:0034605]; cytoplasm protein quality control [GO:0140455]; protein aggregate center assembly [GO:0140454]; protein refolding [GO:0042026]	Mitochondrial protein import protein mas5	hsp70
Talaromyces atroroseus	A0A225AI35	cytosol [GO:0005829]; nucleus [GO:0005634]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; ribosome binding [GO:0043022]; protein refolding [GO:0042026]	Cns1/TTC4 wheel domain-containing protein	hsp70
Talaromyces atroroseus	A0A1Q5Q936	cytoplasm [GO:0005737]; ATPase inhibitor activity [GO:0042030]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; mRNA binding [GO:0003729]; protein folding [GO:0006457]; protein targeting to mitochondrion [GO:0006626]	Heat shock protein sti1-like protein	hsp70
Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	B6QDR9		Hsp70 family chaperone, putative	hsp70
Talaromyces proteolyticus	A0AAD4PUM2		Hsp70 family protein	hsp70
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8MCI0	ATP binding [GO:0005524]	Hsp70 family chaperone	hsp70
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8M0D3	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	Hsp70 family protein	hsp70
Talaromyces atroroseus	A0A225AA09	cytosol [GO:0005829]; nucleus [GO:0005634]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; protein folding [GO:0006457]	Translocation protein sec72	hsp90
Talaromyces atroroseus	A0A1Q5Q7I4	cytoplasm [GO:0005737]; Hsp90 protein binding [GO:0051879]; chaperone-mediated protein folding [GO:0061077]	UNC-45/Cro1/She4 central domain-containing protein	hsp90
Talaromyces atroroseus	A0A225AI35	cytosol [GO:0005829]; nucleus [GO:0005634]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; ribosome binding [GO:0043022]; protein refolding [GO:0042026]	Cns1/TTC4 wheel domain-containing protein	hsp90
Talaromyces atroroseus	A0A225AKP9	cytosol [GO:0005829]; nucleus [GO:0005634]; TTT Hsp90 cochaperone complex [GO:0110078]	Pre-rRNA-processing protein RIX1	hsp90
Talaromyces atroroseus	A0A1Q5Q936	cytoplasm [GO:0005737]; ATPase inhibitor activity [GO:0042030]; Hsp70 protein binding [GO:0030544]; Hsp90 protein binding [GO:0051879]; mRNA binding [GO:0003729]; protein folding [GO:0006457]; protein targeting to mitochondrion [GO:0006626]	Heat shock protein sti1-like protein	hsp90
Talaromyces atroroseus	A0A225ALL3	cytoplasm [GO:0005737]; nucleus [GO:0005634]; heat shock protein binding [GO:0031072]; protein kinase binding [GO:0019901]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein stabilization [GO:0050821]	Hsp90 chaperone protein kinase-targeting subunit	hsp90
Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	B6Q741	cytosol [GO:0005829]; Hsp90 protein binding [GO:0051879]; telomeric DNA binding [GO:0042162]; 'de novo' cotranslational protein folding [GO:0051083]	Telomere length regulation protein conserved domain-containing protein	hsp90
Talaromyces pinophilus (Penicillium pinophilum)	A0A6V8H246	TTT Hsp90 cochaperone complex [GO:0110078]; ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity [GO:0052929]; CC tRNA cytidylyltransferase activity [GO:0052927]; nucleotide binding [GO:0000166]; RNA binding [GO:0003723]; tRNA 3'-terminal CCA addition [GO:0001680]	Uncharacterized protein	hsp90
Talaromyces stipitatus (strain ATCC 10500 / CBS 375.48 / QM 6759 / NRRL 1006) (Penicillium stipitatum)	B8MBP3	cytosol [GO:0005829]; nucleus [GO:0005634]; Hsp90 protein binding [GO:0051879]; protein-folding chaperone binding [GO:0051087]; chaperone-mediated protein complex assembly [GO:0051131]; protein folding [GO:0006457]	Hsp90 binding co-chaperone (Sba1), putative	hsp90
